
> neural-bet-predictor@1.0.0 start /home/felipe/neural-bet-predictor
> ts-node src/index.ts

iterations: 500, training error: 0.20648592554040404
iterations: 1000, training error: 0.2062498964585205
iterations: 1500, training error: 0.2060394207321926
iterations: 2000, training error: 0.20580022758741634
iterations: 2500, training error: 0.20545458568089034
iterations: 3000, training error: 0.20487702211961942
iterations: 3500, training error: 0.20371908871829444
iterations: 4000, training error: 0.20115591172606578
iterations: 4500, training error: 0.19822417077021873
iterations: 5000, training error: 0.19685741604280232
iterations: 5500, training error: 0.19612921592006408
iterations: 6000, training error: 0.19561976795582048
iterations: 6500, training error: 0.1952174734461646
iterations: 7000, training error: 0.19488058462200558
iterations: 7500, training error: 0.1945885513207916
iterations: 8000, training error: 0.19432929343538044
iterations: 8500, training error: 0.19409485351827158
iterations: 9000, training error: 0.1938797409645717
iterations: 9500, training error: 0.19368006392684625
iterations: 10000, training error: 0.19349308063608936
iterations: 10500, training error: 0.19331693208014428
iterations: 11000, training error: 0.19315048387124753
iterations: 11500, training error: 0.1929931283569561
iterations: 12000, training error: 0.1928446618449297
iterations: 12500, training error: 0.19270505037910268
iterations: 13000, training error: 0.19257438530100113
iterations: 13500, training error: 0.1924526768106969
iterations: 14000, training error: 0.19233992820841514
iterations: 14500, training error: 0.19223584197651045
iterations: 15000, training error: 0.1921401189308621
iterations: 15500, training error: 0.19205230875180623
iterations: 16000, training error: 0.19197189952381907
iterations: 16500, training error: 0.1918983442859513
iterations: 17000, training error: 0.19183104766780504
iterations: 17500, training error: 0.19176942663394447
iterations: 18000, training error: 0.19171294747047396
iterations: 18500, training error: 0.19166108093171502
iterations: 19000, training error: 0.1916133568948722
iterations: 19500, training error: 0.19156933130381804
iterations: 20000, training error: 0.19152861948756733
iterations: 20500, training error: 0.19149087075882817
iterations: 21000, training error: 0.1914557747930441
iterations: 21500, training error: 0.19142306331379508
iterations: 22000, training error: 0.19139247411917143
iterations: 22500, training error: 0.19136377533173873
iterations: 23000, training error: 0.19133678731547157
iterations: 23500, training error: 0.19131131524197628
iterations: 24000, training error: 0.19128720712913205
iterations: 24500, training error: 0.19126432087252093
iterations: 25000, training error: 0.19124244549838051
iterations: 25500, training error: 0.1912214771329993
iterations: 26000, training error: 0.19120125151071327
iterations: 26500, training error: 0.1911815730416048
iterations: 27000, training error: 0.19116223738684993
iterations: 27500, training error: 0.1911429361335416
iterations: 28000, training error: 0.19112325438228062
iterations: 28500, training error: 0.19110253383324297
iterations: 29000, training error: 0.19107947149984128
iterations: 29500, training error: 0.19105156090146364
iterations: 30000, training error: 0.19101311052671863
iterations: 30500, training error: 0.19095054367296843
iterations: 31000, training error: 0.19083557543967358
iterations: 31500, training error: 0.19061441570875204
iterations: 32000, training error: 0.19020455921566592
iterations: 32500, training error: 0.18958510045655863
iterations: 33000, training error: 0.18882474479048392
iterations: 33500, training error: 0.1879329553436061
iterations: 34000, training error: 0.1867751860840173
iterations: 34500, training error: 0.18544366324078532
iterations: 35000, training error: 0.18410072562099744
iterations: 35500, training error: 0.1828051711400666
iterations: 36000, training error: 0.18148987461768082
iterations: 36500, training error: 0.18018250268674707
iterations: 37000, training error: 0.17898867233646992
iterations: 37500, training error: 0.17791747726929752
iterations: 38000, training error: 0.1767853897885287
iterations: 38500, training error: 0.17550470997442721
iterations: 39000, training error: 0.17420278231638134
iterations: 39500, training error: 0.17276857106852364
iterations: 40000, training error: 0.1712245770433314
iterations: 40500, training error: 0.1696341877684281
iterations: 41000, training error: 0.16804364767617738
iterations: 41500, training error: 0.16652608896318952
iterations: 42000, training error: 0.16514491464061676
iterations: 42500, training error: 0.1639237485919035
iterations: 43000, training error: 0.16285938149473725
iterations: 43500, training error: 0.16193574373892167
iterations: 44000, training error: 0.16112837891846457
iterations: 44500, training error: 0.16041338695133434
iterations: 45000, training error: 0.15977097825155478
iterations: 45500, training error: 0.15918116115390352
